Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2015,No,Regular Straight 505® Jeans  Range (Water<Less),Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16.0,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Regular Straight 505® Jeans  Range,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16.0,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,No,Regular Straight 505® Jeans  Range,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16.0,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Regular Straight 505® Jeans  House Cat,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15.0,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,No,Regular Straight 505® Jeans  House Cat,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,16.0,20.87,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS315DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,Estimated from external data based on product description,1616.172,100.79,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS410DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.898413,Estimated from external data based on product description,1523.19,95.81,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CX310DN - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,Estimated from external data based on product description,2358.38,75.19,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS415DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,Estimated from external data based on product description,1524.56,95.08,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS510DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.66952,Estimated from external data based on product description,1617.69,97.04,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS610DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",18.37049,Estimated from external data based on product description,1978.08,107.68,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS610DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",17.576704,Estimated from external data based on product description,1957.73,111.38,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS810DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.4877,Estimated from external data based on product description,2106.94,76.65,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS810DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2005.36,73.08,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS811DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2387.57,87.0,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS812DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.75985,Estimated from external data based on product description,2744.39,98.86,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS812DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,Estimated from external data based on product description,2747.47,100.12,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX310DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",22.45282,Estimated from external data based on product description,1140.41,50.79,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CX410DE - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,Estimated from external data based on product description,3236.35,103.18,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
