Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2014,No,Glass container,Owens-Illinois,USA,Materials,Containers & Packaging,Packaging for consumer goods,0.416,Estimated from external data based on product description,0.171,0.41,ISO,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2014,Yes,BillerudKorsnäs Liquid LC,BillerudKorsnäs,Sweden,Materials,Containers & Packaging,Packaging for consumer goods,1000.0,As per company's submission to CDP,407.0,0.41,ISO,-4.90%,"The overall decrease is mainly thanks to changes in lower grammages and less fossil fuel in the manufacturing processes (Scope 1). At the same time, due to a calculation based on a production on two different sites instead of one, the emissions from the production of chemicals (Scope 3) had a negative change during 2012 compared to the previous figures from 2008 (published in 2011).",Product carbon efficiency changed,No,0.6940000000000001,0.09699999999999999,0.209,0.209,
2015,Yes,BillerudKorsnäs Liquid LC,BillerudKorsnäs,Sweden,Containers & Packaging,Not used for 2015 reporting,Packaging for consumer goods,1000.0,As per company's submission to CDP,407.0,0.41,ISO,-4.90%,"The overall decrease was mainly thanks to changes in lower grammages and less fossil fuel in the manufacturing processes (Scope 1). At the same time, due to a calculation based on a production on two different sites instead of one, the emissions from the production of chemicals (Scope 3) had a negative change during 2012 compared to the previous figures from 2008 (published in 2011).",Product carbon efficiency changed,No,0.6940000000000001,0.09699999999999999,0.209,0.209,
2013,Yes,"TFT-LCD products is the use of the optical properties of liquid crystals to achieve the image display, liquid crystal main structure is poured into the vacuum between the two pieces of glass, glass, applied voltage and control the proper spacing of the deflection characteristics of the incident light can be changed to to image display. For the automobile products's TFT-LCD Module, the product is defined as B to B (Business to Business) products, ranging from the cradle to the door inventory, according to standard PCR system boundaries should be compulsory included in carbon footprint assessment phase are as follows:  . Mining and raw materials made  . Manufacture of major components  . Transport components  . Product assembly stage. The models 069LA of automobile panel was complete the dual certification of carbon footprint and water footprint  by SGS in 2011.",Chunghwa Picture Tubes Ltd,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.28,Estimated from external data based on product description,12.0,42.86,ISO,-50.00%,Materials: No changes Process aspects;  The suppliers reduced carbon emissions with optimized the process. 2011 product used SF6 as process gas. 2012 product used NF3 to replace SF6 as process gas to reduce the CO2 emission.,Product carbon efficiency changed,No,0.57,0.32,0.11,0.11,
2014,Yes,Coca-Cola (all packaging and sizes),Coca-Cola HBC AG,Switzerland,"Food, Beverage & Tobacco",Beverages,Food & Beverage,1.093,As per company's submission to CDP,0.1673,0.15,GHGP,(not reported by company),N/a,N/a (no previous data available),No,0.8428,0.1112,0.046,0.0418,
2015,Yes,Coca-Cola (all packaging and sizes),Coca-Cola HBC AG,Switzerland,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,1.093,As per company's submission to CDP,0.158,0.14,GHGP,-5.40%,Our reduction activities in the whole value chain.,Product carbon efficiency changed,No,0.3837,0.12710000000000002,0.4893,0.48229999999999995,
2016,Yes,Coca-Cola (all packaging and sizes),Coca-Cola HBC AG,Switzerland,"Food, Beverage & Tobacco",Beverages,Food & Beverage,1.093,Estimated from external data based on product description,0.147,0.13,GHGP,-1.50%,Our reduction activities in the whole value chain.,Product carbon efficiency changed,No,0.4217,0.10980000000000001,0.4685,0.46240000000000003,
2015,No,Wind Turbine G90 2 Megawats,"Gamesa Corporación Tecnológica, S.A.",Spain,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,361000.0,Estimated from external data based on product description,1251625.0,3.47,ISO,-4.00%,New EPD revision including product changes introduced on last two years. Emissions have decreased 4% from previos EPD verified at year 2013,Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,Wind Turbine G114 2 Megawats,"Gamesa Corporación Tecnológica, S.A.",Spain,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,400000.0,Estimated from external data based on product description,1532608.0,3.83,ISO,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Wind Turbine G128 5 Megawats,"Gamesa Corporación Tecnológica, S.A.",Spain,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,600000.0,Estimated from external data based on product description,3718044.0,6.2,ISO,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Wind Turbine G132 5 Megawats,"Gamesa Corporación Tecnológica, S.A.",Spain,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,600000.0,Estimated from external data based on product description,3276187.0,5.46,Not reported,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2013,Yes,HP EliteDisplay E201 20-inch LED Backlit Monitor,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",7.1,Estimated from external data based on product description,300.0,42.25,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0083,0.469,0.5228,0.0172,0.011200000000000002
2013,Yes,HP Compaq LA2206xc 21.5-inch Webcam Monitor,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",8.3,Estimated from external data based on product description,380.0,45.78,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0086,0.43060000000000004,0.5608,0.0182,0.011699999999999999
2013,No,HP LaserJet Enterprise M4555fskm MFP (note that this product is representative of 61 similar products for which full LCAs were performed),Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",52.5,Estimated from external data based on product description,16100.0,306.67,ISO,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2013,Yes,HP Compaq LA2405x 24-inch LED Backlit Monitor,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",10.1,Estimated from external data based on product description,460.0,45.54,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0104,0.3832,0.6063000000000001,0.0187,0.0098
2013,No,HP Envy 120 InkJet Printer,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",7.2,Estimated from external data based on product description,231.4,32.14,ISO,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2013,Yes,HP ScanJet 7500 (note that this product is representative of 5 similar products for which full LCAs were performed),Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",10.61,Estimated from external data based on product description,262.1,24.7,ISO,(not reported by company),N/a,N/a (no previous data available),Yes,0.345,0.1316,0.5235,,
2013,Yes,HP Compaq Elite 8300 USDT PC,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",3.1,Estimated from external data based on product description,420.0,135.48,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0052,0.3638,0.631,0.0176,0.0048
2013,Yes,HP Compaq 8200 Elite SFF Business PC,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",7.6,Estimated from external data based on product description,500.0,65.79,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0077,0.3323,0.66,0.0369,0.0109
2013,Yes,HP Compaq Elite 8300 MT PC,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",11.2,Estimated from external data based on product description,580.0,51.79,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0075,0.2692,0.7232999999999999,0.0304,0.0104
2013,Yes,HP EliteBook Folio 9470m,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",1.61,Estimated from external data based on product description,230.0,142.86,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.004699999999999999,0.7666,0.22870000000000001,0.0784,0.0043
2013,Yes,HP EliteBook 8460p Notebook PC,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",2.25,Estimated from external data based on product description,290.0,128.89,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0059,0.6252,0.3689,0.0986,0.0059
2013,Yes,HP EliteBook 8570w Mobile Workstation,Hewlett-Packard,USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",3.0,Estimated from external data based on product description,370.0,123.33,MIT PAIA,(not reported by company),N/a,N/a (no previous data available),No,0.0024,0.6908,0.3068,0.0748,0.0049
2016,No,Canvas Wood Lateral,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",70.2,Estimated from external data based on product description,54.0,0.77,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Canvas Wood Pedestal 2016,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",88.7,Estimated from external data based on product description,77.0,0.87,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Embody Chair,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",23.59,Estimated from external data based on product description,98.0,4.15,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Embody Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",23.59,Estimated from external data based on product description,98.0,4.15,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Canvas Wood Tower,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",107.0,Estimated from external data based on product description,43.0,0.4,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,New Aeron Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",19.323,Estimated from external data based on product description,87.0,4.5,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Caper Stacking Chair,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",9.53,Estimated from external data based on product description,26.0,2.73,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Caper Stacking Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",9.53,Estimated from external data based on product description,26.0,2.73,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Aeron Chair,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",24.95,Estimated from external data based on product description,91.0,3.65,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Aeron Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",24.95,Estimated from external data based on product description,98.0,3.93,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Mirra 2 Chair,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",19.05,Estimated from external data based on product description,105.0,5.51,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Mirra 2 Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",19.05,Estimated from external data based on product description,105.0,5.51,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,"Sayl Work Chair, Suspension Back",Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",17.24,Estimated from external data based on product description,82.0,4.76,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,"Sayl Work Chair, Suspension Back",Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",17.24,Estimated from external data based on product description,82.0,4.76,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Setu Multipurpose Chair with Lyris 2,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",7.71,Estimated from external data based on product description,48.0,6.23,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Setu Multipurpose chair with Lyris 2,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",7.71,Estimated from external data based on product description,48.0,6.23,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2015,No,Celle Chair,Herman Miller,USA,"Consumer Durables, Household and Personal Products",Not used for 2015 reporting,"Home durables, textiles, & equipment",24.95,Estimated from external data based on product description,72.0,2.89,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Celle Chair,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",24.95,Estimated from external data based on product description,72.0,2.89,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Aeron Work Stool,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",34.93,Estimated from external data based on product description,102.0,2.92,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,Canvas Wood Credenza 2016,Herman Miller,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",99.5,Estimated from external data based on product description,76.0,0.76,TRACI 2.1,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2014,Yes,Graphite 2500 DECT,BT Group,United Kingdom,Telecommunication Services,Diversified Telecommunication Services,"Computer, IT & telecom",1.4,Estimated from external data based on product description,4.7,3.36,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.1923,0.029900000000000003,0.7778,0.0171,0.010700000000000001
2015,Yes,Graphite 2500 DECT,BT Group,United Kingdom,Telecommunication Services,Not used for 2015 reporting,"Computer, IT & telecom",1.4,Estimated from external data based on product description,4.7,3.36,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.1923,0.029900000000000003,0.7778,0.0171,0.010700000000000001
2014,Yes,Home Hub 2.0,BT Group,United Kingdom,Telecommunication Services,Diversified Telecommunication Services,"Computer, IT & telecom",1.1,Estimated from external data based on product description,57.0,51.82,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.1201,0.0037,0.8762000000000001,0.0014000000000000002,0.0018
2015,Yes,Home Hub 2.0,BT Group,United Kingdom,Telecommunication Services,Not used for 2015 reporting,"Computer, IT & telecom",1.1,Estimated from external data based on product description,57.0,51.82,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.1186,0.0037,0.8778,0.0141,0.0017000000000000001
2014,Yes,Home Hub 3.0,BT Group,United Kingdom,Telecommunication Services,Diversified Telecommunication Services,"Computer, IT & telecom",1.2,Estimated from external data based on product description,33.0,27.5,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.0688,0.010700000000000001,0.9205,0.0031,0.0031
2015,Yes,Home Hub 3.0,BT Group,United Kingdom,Telecommunication Services,Not used for 2015 reporting,"Computer, IT & telecom",1.2,Estimated from external data based on product description,33.0,27.5,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.0688,0.010700000000000001,0.9205,0.0031,0.0031
2014,Yes,Vision+ box,BT Group,United Kingdom,Telecommunication Services,Diversified Telecommunication Services,"Computer, IT & telecom",1.7,Estimated from external data based on product description,88.0,51.76,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.11230000000000001,0.0005,0.8872,0.0128,0.0027
2015,Yes,Vision+ box,BT Group,United Kingdom,Telecommunication Services,Not used for 2015 reporting,"Computer, IT & telecom",1.7,Estimated from external data based on product description,88.0,51.76,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.11230000000000001,0.0005,0.8872,0.0128,0.0027
2014,No,Carbon Black,Cabot Corporation,USA,Materials,Chemicals,Chemicals,1000.0,As per company's submission to CDP,2280.0,2.28,GHGP,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,Yes,Multi Function Printer,Canon Inc.,Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",71.0,Estimated from external data based on product description,39.0,0.55,M. Env. Japan,-9.00%,"The result of promoting the following activities mainly; 1. A smaller, lighter PIXMA series and reduced packaging size helps cut down CO2 emissions throughout the whole process from production, shipping to selling 2. Low-power-consumption design achieved by LED light source 3. Reduction electricity consumption 4. Equipped with Eco mode, such as automatic duplex printing and power-off timers that can be set directly from the device by touch panel operation, allowing for paper conservation as well as reduced power consumption while in standby. 5. Promoting Modal Shifts from road and air transportation to a combination of ocean and rail, which have a lower environmental impact.",Product carbon efficiency changed,Yes,0.5585,0.213,0.2286,0.0338,0.0935
2014,Yes,Multi Function Printer with a built-in facsimile,Canon Inc.,Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",30.98,Estimated from external data based on product description,57.0,1.84,M. Env. Japan,-5.00%,"The result of promoting the following activities mainly; 1. A smaller, lighter PIXMA series and reduced packaging size helps cut down CO2 emissions throughout the whole process from production, shipping to selling 2. Low-power-consumption design achieved by LED light source 3. Reduction electricity consumption 4. Equipped with Eco mode, such as automatic duplex printing and power-off timers that can be set directly from the device by touch panel operation, allowing for paper conservation as well as reduced power consumption while in standby. 5. Promoting Modal Shifts from road and air transportation to a combination of ocean and rail, which have a lower environmental impact.",Product carbon efficiency changed,Yes,0.5652,0.2155,0.2193,0.022799999999999997,0.114
2014,Yes,Digital camera,Canon Inc.,Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",0.553,Estimated from external data based on product description,13.0,23.51,M. Env. Japan,2.00%,"The result of promoting the following activities mainly; Promoting Modal Shifts from road and air transportation to a combination of ocean and rail, which have a lower environmental impact. However, on the decrease of our production, CO2 emissions from fixed sources per unit increased.",Product carbon efficiency changed,Yes,0.6381,0.2434,0.1185,0.0889,0.0222
2014,Yes,Single Lens Reflex camera system,Canon Inc.,Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",1.53,Estimated from external data based on product description,19.0,12.42,M. Env. Japan,-3.00%,"The result of promoting the following activities mainly; Promoting Modal Shifts from road and air transportation to a combination of ocean and rail, which have a lower environmental impact.",Product carbon efficiency changed,Yes,0.5739,0.2189,0.2073,0.1813,0.0207
2013,No,Ingeo--biopolymer (polylactid) made from corn starch,Cargill,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1.0,As per company's submission to CDP,1.3,1.3,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Ingeo,Cargill,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1.0,As per company's submission to CDP,1.3,1.3,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,Yes,"Series 29 Hydrant - Squat Hydrant suitable for use with water and neutral liquids, to a maximum temperature of 70 degrees centigrade. Complies with requirements of BS750:2006 and BSEN1074-2:2004 and EN14339:2005, underground hydrants. Also to BS EN 1074-6 for potable (drinking) water. This product has kitemark and WRAS approval. The 2938832112 replaces the 2928832112.",AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,13.0,Estimated from external data based on product description,31.33,2.41,PAS2050,18.36%,"Previously AVK brought in the bodies and machined them in house. This arrangement has now changed and the bodies are brought in ready machined. The effect of this is a large rise in the emissions from supplier components. In addition the amount of CO2e emissions per valve has increased because the amount of emissions allocated to each valve is by weight of the product. The total number of products has decreased, therefore more emissions have been allocated to each product at the ""Manufacture of AVK finished components"" stage of the lifecycle. A slight increase in emissions is observed at the ""Assembly and finishing of product"" stage of the lifecycle. This is the result of a change in methodology to allocate the Scope 1 and 2 by weight of component compared to the total weight of all components and a decrease in the total weight of products sold in the reporting year.",Model/parameters AND product carbon efficiency changed,No,0.39380000000000004,0.5685,0.0377,0.0377,
2014,Yes,Series 29/388 Squat Hydrant,AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,13.0,Estimated from external data based on product description,30.05,2.31,PAS2050,-4.10%,The value recorded this year was slightly lower than the previously recorded value. This is due to improvements made to the method by which life-cycle emissions are calculated (using emission factors that more accurately reflect all of the components that make up the product).,Model and/or parameters changed (but not product),No,0.9764,0.0013,0.0222,0.0199,0.0023
2013,Yes,"The series 21/75 is a resilient seat, wedge gate valve for isolation purposes, suitable for use with water and neutral liquids (sewage), to a maximum temperature of +70 degrees centegrade. The series 21/75 is a new alternative to a series 21/50 in some applications. Therefore where a 21/75 is sold we can calculate the emissions saved in contrast to the sale of a 21/50.",AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,41.0,Estimated from external data based on product description,94.08,2.29,PAS2050,19.09%,"The total number of AVK manufactured products has decreased in the reporting year, therefore more emissions have increased significantly at the ""Manufacture of AVK finished components"" stage of the lifecycle. An increase of emissions is also observed at the ""Assembly and finishing of product"" stage of the lifecycle. This is the result of a change in methodology to allocate the Scope 1 and 2 by weight of component compared to the total weight of all components and a decrease in the amount of products sold in the reporting year.",Model/parameters AND product carbon efficiency changed,No,0.4525,0.46950000000000003,0.078,0.078,
2013,Yes,"Gas Product - Small 555 series cast iron softseal valve, PN16. This series 555 softseal valve is a double-faced, resilient seat wedge gate valve. It is designed primarily for the isolation of natural gas and towns gas. Kitemark approved for GIS/V7 part 1.",AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,23.0,Estimated from external data based on product description,44.27,1.92,PAS2050,-3.72%,"A reduction of emissions is observed at the ""Assembly and finishing of product"" stage of the lifecycle. This is the result of a reduction in scope 1 and 2 emissions at Bryan Donkin Valves Ltd where this product is assembled.",Product carbon efficiency changed,No,0.7206999999999999,0.17079999999999998,0.1084,0.1084,
2014,Yes,Series 555/300 Gate Valve,AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,23.0,Estimated from external data based on product description,33.44,1.45,PAS2050,-24.47%,The value recorded this year was lower than the previously recorded value. This is due to improvements made to the method by which life-cycle emissions are calculated (using emission factors that more accurately reflect all of the components that make up the product).,Model and/or parameters changed (but not product),No,0.9948,0.0009,0.0043,0.0021,0.0021
2014,Yes,Series 21/50 Gate Valve,AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,41.0,Estimated from external data based on product description,62.63,1.53,PAS2050,-33.43%,The value recorded this year was lower than the previously recorded value. This is due to improvements made to the method by which life-cycle emissions are calculated (using emission factors that more accurately reflect all of the components that make up the product).,Model and/or parameters changed (but not product),No,0.9784999999999999,0.0005,0.021099999999999997,0.0199,0.0011
2014,Yes,Series 202/31 Repair Clamp,AVK,United Kingdom,Capital Goods,Trading Companies & Distributors,Comm. equipm. & capital goods,7.0,Estimated from external data based on product description,57.07,8.15,PAS2050,-2.76%,"This item was not included in last years report, but the emissions associated with this product have decreased from what they were during the last reporting period due to carbon reduction initiatives that took place. AVK UK's technical department re-designed a widely used component (ductile iron lug) to reduce the weight by 0.289kg (per lug).  This product contains 4 ductile iron lugs, and therefore the emission reduction is 4 x 0.289 x 1.4 = 1.62kg (9.71 tonne reduction over the reporting period from this product alone).",Product carbon efficiency changed,No,0.9876,0.0002,0.0123,0.011000000000000001,0.0012
2016,No,See attached sheet,Pacific Coast Producers,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,907.19,As per company's submission to CDP,187.161,0.21,GHGP,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,Yes,Ecoworx Carpet Tile with Shaw's Eco Solution Q Nylon 6 face fiber,"Shaw Industries Group, Inc.",USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.267906667,Estimated from external data based on product description,14.6,54.5,ISO,38.00%,"Life Cycle Assessment for this product has been updated to 1) align methodology and scope/boundaries with US based Flooring Product Category Rules, and 2) to incorporate the latest available data tables for TRACI impact categories - including GHG.",Model and/or parameters changed (but not product),No,0.8231,0.09519999999999999,0.0816,,0.013600000000000001
2016,No,PET preforms for bottles,Retal,Lithuania,Materials,Containers & Packaging,Packaging for consumer goods,0.03,As per company's submission to CDP,0.0108,0.36,GHGP,-1.50%,Emission reduction activities.,Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2013,Yes,Page Printer SPEEDIA N3600,"Casio Computer Co., Ltd.",Japan,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",45.0,Estimated from external data based on product description,2344.0,52.09,EcoLeaf,(not reported by company),N/a,N/a (no %change reported),No,0.1152,0.0055000000000000005,0.8792,0.004699999999999999,0.0239
2014,Yes,SPEEDIA N3600,"Casio Computer Co., Ltd.",Japan,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",45.0,Estimated from external data based on product description,2344.0,52.09,ISO,(not reported by company),N/a,N/a (no %change reported),No,0.1152,0.0055000000000000005,0.8792,0.004699999999999999,0.0239
2016,No,Lineal Alkyl Bencene (LAB),"Compañía Española de Petróleos, S.A.U. CEPSA",Spain,Energy,"Oil, Gas & Consumable Fuels",Chemicals,1000.0,As per company's submission to CDP,6109.0,6.11,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2016,No,Lineal Alkyl Bencene (LAB),"Compañía Española de Petróleos, S.A.U. CEPSA",Spain,Energy,"Oil, Gas & Consumable Fuels",Chemicals,1000.0,As per company's submission to CDP,890.0,0.89,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2016,No,E - Series Solar Panels (SPR-327NE-WHT-D AR modules),SunPower Corporation,USA,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,18.6,Estimated from external data based on product description,281.0,15.11,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,Yes,Droid Razr,Motorola Mobility,USA,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",0.127,Estimated from external data based on product description,29.96,235.91,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.0007000000000000001,0.9235,0.0759,0.0338,
2013,Yes,"50 TFT-LCD TV module which consisted of the following main components: PCBA, converter, TFT-LCD panel, LED backlight",Innolux Corporation,Taiwan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",14.96,Estimated from external data based on product description,145.0,9.69,PAS2050,(not reported by company),N/a,N/a (no %change reported),No,0.6,0.4,0.0,,
2013,Yes,Can/Bottle vending machine  -30Selections  -Cooling / warming  - R744 Heat Pump Refrigeration System  - LED Lighting,Sanden,Japan,Capital Goods,Machinery,Comm. equipm. & capital goods,342.462,Estimated from external data based on product description,3139.9,9.17,EcoLeaf,-0.60%,Energy saving in operation,Product carbon efficiency changed,No,0.2842,0.0425,0.6733,0.005600000000000001,0.09119999999999999
