*PCF-ID,Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Product detail,Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF),*Adjustments to raw data (if any)
15763-1-2013,2013,No,"Ricoh Aficio MP 6002SP, a Mono-chrome MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Aficio MP 6002SP, a Mono-chrome MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",214,Estimated from external data based on product description,2400,11.21,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-2-2013,2013,No,"Ricoh Aficio MP C5502G, a Full-color MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Aficio MP C5502G, a Full-color MFP (Multi-function products) products that function as Copier, Network Printer, Scanner, (Facsimile).","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",130,Estimated from external data based on product description,2100,16.15,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-3-2013,2013,No,"Ricoh Aficio SP 8300DN, a high-speed Mono-chrome Network Printer","Ricoh Aficio SP 8300DN, a high-speed Mono-chrome Network Printer","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",73,Estimated from external data based on product description,1297,17.77,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-4-2013,2013,No,"Ricoh Aficio SP C831DN, a high-speed Full-colour Network Printer","Ricoh Aficio SP C831DN, a high-speed Full-colour Network Printer","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",97,Estimated from external data based on product description,3210,33.09,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-5-2013,2013,No,"Ricoh Pro C751EX, a Production Printer (Full Color) that is used primarily for high-speed and production type (large print volume) job","Ricoh Pro C751EX, a Production Printer (Full Color) that is used primarily for high-speed and production type (large print volume) job","Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",550,Estimated from external data based on product description,7368,13.4,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-6-2014,2014,No,Ricoh MP C5503,Ricoh MP C5503 is a hi-speed color MFP (Multi-function product) with; - Colour output at 55 pages a minute - Single Pass Duplex Feeder - Wide selection of finishing options - SRA3 media handling  The emissions data of this product is provided as a case example of our entire image solution business products line which covers 77% of Ricoh's total revenue.,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",99.9,Estimated from external data based on product description,1940,19.42,ISO,-22.00%,% change is based on TEC (typical weekly electricity consumption) value between MP C5503 and its comparable previous model of three years ago.,Model and/or parameters changed (but not product),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-7-2014,2014,No,Ricoh MP C8002SP: The product is a high-speed (80 images/minute) color multi-functional product (MFP) and is a major representative of our image solution products business.  The lifecycle emissions data of this product is provided as a case example of our entire image solution business products line which covers 77% of Ricoh's total revenue.,BLANK,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",241,Estimated from external data based on product description,6140,25.48,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Used SM3.2a name of good/service from SM3.2b; Total emissions set to sum of LCA stage emissions
15763-8-2015,2015,No,Ricoh MP 6054SPG,Ricoh MP 6054SPG is a high-speed color MFP (Multi-function product) with; - Colour output at 60 pages a minute - Single Pass Duplex Feeder - Wide selection of finishing options. The emissions data of this product is provided as a case example of our entire image solution business products line which covers 89% of Ricoh's total revenue.,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",74,Estimated from external data based on product description,1330,17.97,ISO,-31.00%,"% change is based on TEC (typical weekly electricity consumption) value between MP 6054SPG and MP C5503, the model we presented as the case example model for the previous year report. These two models are in the same product category (color MFP) and have a comparable spec. (55 print per minute of C5503 compared to 60 print per minute with 6054SPG).",Model and/or parameters changed (but not product),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
15763-9-2015,2015,No,RICOH Pro C7110S QX100,BLANK,"Ricoh Co., Ltd.",Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",600,Estimated from external data based on product description,8080,13.47,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Used SM3.2a name of good/service from SM3.2b; Total emissions set to sum of LCA stage emissions
16290-1-2013,2013,No,SBS Board,Field not included in 2013 data,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,968,0.97,Not reported,-13.50%,one inportant factor was the better utilisation rate of the equipment.,Product carbon efficiency changed,N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
16290-1-2014,2014,Yes,AlgroDesign,SBS Board,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,1031.6,1.03,Not reported,6.50%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,30.17%,69.83%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
16290-2-2013,2013,No,One side coated label paper,Field not included in 2013 data,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,949,0.95,Not reported,-13.10%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
16290-2-2014,2014,Yes,Parade Prima,One side coated label paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,1042.8,1.04,Not reported,9.80%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,30.92%,69.08%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
16290-3-2013,2013,No,Uncoated flexible packaging paper,Field not included in 2013 data,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,1033,1.03,Not reported,-12.40%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
16290-3-2014,2014,Yes,"Leine Mühle, Leine Silk",Uncoated flexible packaging paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,1060.9,1.06,Not reported,2.60%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,32.10%,67.90%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
16290-4-2013,2013,No,One side coated flexible packaging paper,Field not included in 2013 data,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,973,0.97,Not reported,-13.70%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
16290-4-2014,2014,Yes,Algro Helix,One side coated flexible packaging paper,Sappi,South Africa,Materials,Paper & Forest Products,Construction & commercial materials,1000,As per company's submission to CDP,1082.6,1.08,Not reported,6.80%,Increase mainly due to the increase of the emissions factor for the purchased power (increased 59%),Product carbon efficiency changed,No,33.46%,66.54%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
16423-1-2013,2013,Yes,Acti9 – Residual current circuit breaker – iID K. The main function of the iID K product range is to ensure protection of people against electric shocks. PEP of this product is available here: http://planet.schneider-electric.com/C12577A200268439/all/14AA652B755F340C852577F3006F06D0/$File/envpep100201en.pdf,Acti9 – Residual current circuit breaker – iID K. The main function of the iID K product range is to ensure protection of people against electric shocks. PEP of this product is available here: http://planet.schneider-electric.com/C12577A200268439/all/14AA652B755F340C852577F3006F06D0/$File/envpep100201en.pdf,Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,6.68%,1.44%,91.88%,0.16%,(included in downstream but not reported separately),Streamlined product description
16423-1-2014,2014,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,"The data provided in this question is an example for a product which possesses a Product Environmental Profile: Acti9 – Residual current circuit breaker – ilD K. The main function of the ilD K product range is to ensure protection of people against electric shocks. PEP of this product is available here: http://www2.schneider-electric.com/sites/corporate/en/products-services/green-premium/check-a-product.page -> checking reference ""A9R50240"".",Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,6.68%,1.44%,91.88%,0.16%,(included in downstream but not reported separately),None
16423-1-2015,2015,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,"The data provided in this question is an example for a product which possesses a Product Environmental Profile: Acti9 – Residual current circuit breaker – ilD K. The main function of the ilD K product range is to ensure protection of people against electric shocks. PEP of this product is available here: http://www2.schneider-electric.com/sites/corporate/en/products-services/green-premium/check-a-product.page -> checking reference ""A9R50240"".",Schneider Electric,France,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,19.1,90.95,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,6.68%,1.44%,91.88%,0.16%,(included in downstream but not reported separately),None
16423-2-2016,2016,Yes,ACTI9 IID K 2P 40A 30MA AC-TYPE RESIDUAL CURRENT CIRCUIT BREAKER,"The data provided in this question is an example for a product which possesses a Product Environmental Profile: Acti9 – Residual current circuit breaker – ilD K. The main function of the ilD K product range is to ensure protection of people against electric shocks. PEP of this product is available here: https://www.reach.schneider-electric.com/CheckProduct.aspx -> checking reference ""A9R50240"".",Schneider Electric,France,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.21,Estimated from external data based on product description,61.23,291.57,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,1.92%,0.41%,97.66%,0.08%,0.20%,None
17280-1-2013,2013,Yes,Corrugated box,Field not included in 2013 data,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000,As per company's submission to CDP,746,0.75,FEFCO,-5.00%,update of database,Model and/or parameters changed (but not product),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17280-1-2014,2014,Yes,Corrugated Box,"Production of corrugated box (including production of raw materials used, fuels consumption, electricity consumption, transport of raw materials)",Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000,As per company's submission to CDP,746,0.75,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17280-1-2015,2015,Yes,Corrugated box,"Production of corrugated box, including production of raw materials, fuel consumption, electricity consumption and transport of raw materials",Smurfit Kappa Group PLC,Ireland,Containers & Packaging,Not used for 2015 reporting,Packaging for consumer goods,1000,As per company's submission to CDP,746,0.75,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17280-2-2013,2013,Yes,Board packaging,Field not included in 2013 data,Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000,As per company's submission to CDP,964,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17280-2-2014,2014,Yes,Solid Board,"Production of solid board packaging (including production of raw materials used, fuels consumption, electricity consumption, transport of raw materials)",Smurfit Kappa Group PLC,Ireland,Materials,Containers & Packaging,Packaging for consumer goods,1000,As per company's submission to CDP,964,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17280-2-2015,2015,Yes,Solid Board,"Production of solid board for packaging, including production of raw materials, fuel consumption, electricity consumption and transport of raw materials",Smurfit Kappa Group PLC,Ireland,Containers & Packaging,Not used for 2015 reporting,Packaging for consumer goods,1000,As per company's submission to CDP,964,0.96,PAS2050,(not reported by company),N/a,N/a (no %change reported),Yes,87.01%,12.99%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17296-1-2014,2014,Yes,Sodium Carbonate,Soda Ash Dense is the grade for glass manufacture Soda Ash Light for detergent and chemical applications.,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1,As per company's submission to CDP,1.32,1.32,GHGP,(not reported by company),N/a,N/a (no %change reported),No,1.52%,98.48%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17296-2-2014,2014,Yes,Sodium Bicarbonate,"Sodium bicarbonate serves primarily the food and feed markets and the health sector, and is also used to neutralize acid flue gases",Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1,As per company's submission to CDP,1.1,1.1,GHGP,(not reported by company),N/a,N/a (no %change reported),No,0.91%,99.09%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17296-2-2015,2015,Yes,Sodium Bicarbonate,"Sodium bicarbonate serves primarily the food and feed markets and the health sector, and is also used to neutralize acid flue gases",Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1,As per company's submission to CDP,1.01,1.01,GHGP,8.00%,GHG Protocol Product Accounting & Reporting Standard,Model and/or parameters changed (but not product),No,9.90%,90.10%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),"Changed ""Methods"" to GHGP, as per company's other disclosures"
17296-2-2016,2016,No,Sodium Bicarbonate,"Sodium bicarbonate serves primarily the food and feed markets and the health sector, and is also used to neutralize acid flue gases",Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1,As per company's submission to CDP,1.01,1.01,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17296-3-2015,2015,Yes,Dense Sodium Carbonate,Soda Ash Dense is the grade for glass manufacture,Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1,As per company's submission to CDP,1.29,1.29,GHGP,2.00%,Recalculation has been done with Simapro V8.0 and Ecoinvent V2.2 and V3,Model and/or parameters changed (but not product),No,10.85%,89.15%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17296-3-2016,2016,No,Dense Sodium Carbonate,Soda Ash Dense is the grade for glass manufacture,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1,As per company's submission to CDP,1.29,1.29,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17296-4-2015,2015,Yes,Light Sodium Carbonate,Soda Ash Light for detergent and chemical applications.,Solvay S.A.,Belgium,Chemicals,Not used for 2015 reporting,Chemicals,1,As per company's submission to CDP,1.19,1.19,GHGP,(not reported by company),N/a,N/a (no %change reported),No,10.92%,89.08%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
17296-4-2016,2016,No,Light Sodium Carbonate,Soda Ash Light for detergent and chemical applications.,Solvay S.A.,Belgium,Materials,Chemicals,Chemicals,1,As per company's submission to CDP,1.19,1.19,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17659-1-2014,2014,Yes,Staples Sustainable Earth 12A toner cartridge,"The Sustainable Earth by Staples™ 12A toner is the remanufactured toner cartridge counterpart to the Hewlett Packard Company LaserJet Q2612A (12A) toner cartridge. A toner cartridge is a consumable component of a laser printer. The toner cartridge contains the toner, which is a fine, dry powder mixture that makes the actual image on the paper. The toner is transferred to paper via an electrostatic charge, and fused onto the paper during the printing process.","Staples, Inc.",USA,Retailing,Specialty Retail,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,2.526,3.09,ISO,(not reported by company),N/a,N/a (no previous data available),No,71.85%,7.62%,20.53%,17.46%,3.07%,None
17659-1-2015,2015,Yes,Staples Sustainable Earth 12A toner cartridge,"The Sustainable Earth by Staples™ 12A toner is the remanufactured toner cartridge counterpart to the Hewlett Packard Company LaserJet Q2612A (12A) toner cartridge. A toner cartridge is a consumable component of a laser printer. The toner cartridge contains the toner, which is a fine, dry powder mixture that makes the actual image on the paper. The toner is transferred to paper via an electrostatic charge, and fused onto the paper during the printing process.","Staples, Inc.",USA,Retailing,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,2.526,3.09,ISO,(not reported by company),N/a,N/a (no previous data available),No,71.85%,7.62%,20.53%,17.46%,3.07%,None
17659-2-2014,2014,Yes,Staples Sustainable Earth 38A toner cartridge,"The Sustainable Earth by Staples™ 12A toner is the remanufactured toner cartridge counterpart to the Hewlett Packard Company LaserJet Q1338A (38A) toner cartridge. A toner cartridge is a consumable component of a laser printer. The toner cartridge contains the toner, which is a fine, dry powder mixture that makes the actual image on the paper. The toner is transferred to paper via an electrostatic charge, and fused onto the paper during the printing process.","Staples, Inc.",USA,Retailing,Specialty Retail,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,8.38,10.25,ISO,(not reported by company),N/a,N/a (no previous data available),No,78.45%,5.26%,16.29%,14.73%,1.55%,None
17659-2-2015,2015,Yes,Staples Sustainable Earth 38A toner cartridge,"The Sustainable Earth by Staples™ 12A toner is the remanufactured toner cartridge counterpart to the Hewlett Packard Company LaserJet Q1338A (38A) toner cartridge. A toner cartridge is a consumable component of a laser printer. The toner cartridge contains the toner, which is a fine, dry powder mixture that makes the actual image on the paper. The toner is transferred to paper via an electrostatic charge, and fused onto the paper during the printing process.","Staples, Inc.",USA,Retailing,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,Estimated from external data based on product description,8.38,10.25,ISO,(not reported by company),N/a,N/a (no previous data available),No,78.45%,5.26%,16.29%,14.73%,1.55%,None
17673-1-2015,2015,No,D21710 Type 5 Corded Power Drill,D21710 Type 5 Corded Power Drill,"Stanley Black & Decker, Inc.",USA,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,1.82,Estimated from external data based on product description,55.67,30.59,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17673-1-2016,2016,No,D21710 Type 5 Corded Power Drill,D21710 Type 5 Corded Power Drill,"Stanley Black & Decker, Inc.",USA,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,1.82,Estimated from external data based on product description,55.67,30.59,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17673-2-2015,2015,No,DC988 Type 11 Cordless Power Drill equipment with rechargeable NiCd batteries,DC988 Type 11 Corded Power Drill equipment with rechargeable NiCd batteries,"Stanley Black & Decker, Inc.",USA,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,2.7,Estimated from external data based on product description,88.13,32.64,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17673-2-2016,2016,No,Cordless Power Drill ,DC988 Type 11 Cordless Power Drill equipment with rechargeable NiCd batteries,"Stanley Black & Decker, Inc.",USA,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,2.7,Estimated from external data based on product description,88.13,32.64,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Re-arranged product name/detail
17673-3-2016,2016,Yes,33-725 Tape measure family,FatMax 25 foot tape measure,"Stanley Black & Decker, Inc.",USA,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,0.5,Estimated from external data based on product description,2.15,4.3,Traci 2.1,(not reported by company),N/a,N/a (no %change reported),Yes,78.19%,16.84%,4.97%,2.56%,2.42%,None
17788-10-2016,2016,No,B-Free small cube (European supply chain),"B-Free range welcomes varied work postures -reading, reclining, or leaning in to a conversation. From focused individual work to a casual meeting, B-Free provides thoughtful, comfortable support. Small cube allows nearby informal seating during the work day.The model chosen for analysis is the most representative one (reference N3L C00 010)from the B-Free range.",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",13.05,Estimated from external data based on product description,23,1.76,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17788-11-2016,2016,No,B-Free Table (European supply chain),"B-Free range welcomes varied work postures - reading, reclining, or leaning in to a conversation. From focused individual work to a casual meeting, B-Free provides thoughtful, comfortable support. The model chosen for analysis is the most representative one (reference N3L TW0 220) from the B-Free range.",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",51.7,Estimated from external data based on product description,150,2.9,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17788-1-2013,2013,No,Let’s B task chair,"Let’s B task chair range offers two versions : Let’s B mid backrest and Let’s B high backrest. The range is designed to provide three major benefits: “comfort”, “intuitivity” and “personalization”. The model chosen for analysis is the most frequently ordered one (reference 469 IM 060) from the Let’s B mid backrest range.  Standard features on this model include: - Seat height adjustment - Seat depth adjustment - Back height adjustment - Tilt tension adjustment - Upright position lock - 2D adjustable armrests - Impress upholstery - Standard base",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",19.773,Estimated from external data based on product description,120,6.07,ILCD Handbook,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17788-1-2014,2014,No,Let’s B task chair,"Let’s B task chair range offers two versions : Let’s B mid backrest and Let’s B high backrest. The range is designed to provide three major benefits: “comfort”, “intuitivity” and “personalization”. The model chosen for analysis is the most frequently ordered one (reference 469 IM 060) from the Let’s B mid backrest range.  Standard features on this model include: - Seat height adjustment - Seat depth adjustment - Back height adjustment - Tilt tension adjustment - Upright position lock - 2D adjustable armrests - Impress upholstery - Standard base",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",19.773,Estimated from external data based on product description,120,6.07,ILCD Handbook,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17788-12-2016,2016,No,Eastside (European supply chain),"Eastside is a stackable visitor chair, with no sharp edges. It is easy to reconfigure – ideal for conferencing, impromptu meeting and teaming tasks. As extra options, it can have armrests, a writing tablet and castors.The model chosen for analysis is the most frequently ordered one (reference 412 450 MH) from the Eastside range.",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",6.165,Estimated from external data based on product description,29,4.7,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
17788-13-2016,2016,No,Flip Top Twin (European supply chain),"FlipTop Twin is a clever and flexible table for meeting or training rooms. It is very intuitive: the top can be flipped from both sides, to both sides. Once the top is flipped, the tables can be stored in a space saving way. The model chosen for analysis is the most frequently ordered one (reference W4D1C600) from the FlipTop Twin range.",Steelcase,USA,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",32.916,Estimated from external data based on product description,94,2.86,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
