Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2017,Yes,Japan,Chemicals,Chemicals,9.0,Not reported,8.0
2017,Yes,Japan,Chemicals,Chemicals,25.0,Not reported,42.0
2017,No,Japan,Chemicals,Chemicals,17736.0,Not reported,6469.0
2017,Yes,Japan,Chemicals,Chemicals,160.0,Not reported,139.0
2017,Yes,Japan,Chemicals,Chemicals,12000.0,Not reported,99075.0
2017,No,Japan,Aerospace & Defense,Comm. equipm. & capital goods,20.0,WBCSD,5.6724
2013,No,USA,Beverages,Food & Beverage,100.0,ISO,31.37
2013,No,USA,Beverages,Food & Beverage,12.029,ISO,3.02
2014,No,USA,Beverages,Food & Beverage,12.029,Not reported,3.07
2013,No,USA,Beverages,Food & Beverage,15.53,ISO,2.06
2014,No,USA,Beverages,Food & Beverage,15.53,ISO,2.0519
2014,Yes,USA,Beverages,Food & Beverage,13.67,ISO,3.732
2015,Yes,Japan,Not used for 2015 reporting,"Computer, IT & telecom",19.28,ISO,1600.0
2015,No,Japan,Not used for 2015 reporting,"Computer, IT & telecom",0.816,ISO,56.0
2015,Yes,Japan,Not used for 2015 reporting,"Computer, IT & telecom",19.28,ISO,10273.0
2013,Yes,Switzerland,Food Products,Food & Beverage,0.1,French PEF,0.07
2014,No,Switzerland,Food Products,Food & Beverage,0.1,ISO,0.032
2015,No,Switzerland,Not used for 2015 reporting,Food & Beverage,0.1,ISO,0.032
2016,Yes,Switzerland,Beverages,Food & Beverage,0.12,ISO,0.052
2013,Yes,Switzerland,Food Products,Food & Beverage,0.54167,ISO,0.1405
2014,Yes,Switzerland,Food Products,Food & Beverage,0.54167,ISO,0.1405
2015,Yes,Switzerland,Not used for 2015 reporting,Food & Beverage,0.54167,ISO,0.1405
2016,Yes,Switzerland,Beverages,Food & Beverage,0.54167,Not reported,0.1405
2013,Yes,Switzerland,Food Products,Food & Beverage,0.02,ISO,0.184
2013,Yes,Switzerland,Food Products,Food & Beverage,0.02,ISO,0.143
2013,Yes,Switzerland,Food Products,Food & Beverage,0.02,ISO,0.125
2013,Yes,Finland,Communications Equipment,"Computer, IT & telecom",0.218,ISO,12.0
2014,Yes,Finland,Communications Equipment,"Computer, IT & telecom",0.218,ISO,12.0
2013,Yes,Finland,Communications Equipment,"Computer, IT & telecom",0.142,ISO,16.0
2013,Yes,Finland,Communications Equipment,"Computer, IT & telecom",0.085,ISO,8.0
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",1.06,GHGP,7.5
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",1.34,GHGP,86.2
2014,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.5448,GHGP,28.2
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.45,GHGP,9.0
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.42,GHGP,1.617
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.25,GHGP,0.069
2014,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.112,GHGP,8.96
2014,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.0028,Not reported,0.145
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.034,GHGP,3.3
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.034,GHGP,1.1
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.034,GHGP,0.6
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.25,GHGP,28.2
2017,No,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",1.06,GHGP,7.5
2013,Yes,Japan,Gas Utilities,Comm. equipm. & capital goods,1.062,Not reported,60.58
2015,Yes,Japan,Not used for 2015 reporting,Comm. equipm. & capital goods,1.062,Not reported,60.58
2016,Yes,Japan,Gas Utilities,Comm. equipm. & capital goods,1.062,GHGP,60.64
2013,No,USA,Beverages,Food & Beverage,0.0325,GHGP,0.08
2014,No,USA,Beverages,Food & Beverage,0.0325,GHGP,0.08
2015,No,USA,Not used for 2015 reporting,Food & Beverage,0.0325,GHGP,0.08
2013,No,USA,Beverages,Food & Beverage,0.05,GHGP,0.12
2014,No,USA,Beverages,Food & Beverage,0.05,GHGP,0.12
2015,No,USA,Not used for 2015 reporting,Food & Beverage,0.05,GHGP,0.12
2013,No,USA,Beverages,Food & Beverage,0.04,GHGP,0.07
2014,No,USA,Beverages,Food & Beverage,0.04,GHGP,0.07
2015,No,USA,Not used for 2015 reporting,Food & Beverage,0.04,GHGP,0.07
2013,No,USA,Beverages,Food & Beverage,0.324,GHGP,0.65
2014,No,USA,Beverages,Food & Beverage,0.324,GHGP,0.65
2015,No,USA,Not used for 2015 reporting,Food & Beverage,0.324,GHGP,0.65
2013,No,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Not reported,25.5
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",1.8,PAS2050,244.09
2013,No,China,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Not reported,1.62
2014,No,China,Computers & Peripherals,"Computer, IT & telecom",0.0907185,Not reported,12.0
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",6.3,PAS2050,33.31
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",2.8,PAS2050,88.96
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",2.4,PAS2050,70.02
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.31,PAS2050,19.38
2015,Yes,Taiwan,Not used for 2015 reporting,"Computer, IT & telecom",7.4,PAS2050,66.19
2016,Yes,Taiwan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",5.8,PAS2050,74.83
2015,Yes,Taiwan,Not used for 2015 reporting,"Computer, IT & telecom",3.4,PAS2050,83.18
2016,Yes,Taiwan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",4.4,PAS2050,99.68
2015,Yes,Taiwan,Not used for 2015 reporting,"Computer, IT & telecom",0.35,PAS2050,53.36
2016,Yes,Taiwan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.35,PAS2050,16.21
2015,Yes,Taiwan,Not used for 2015 reporting,"Computer, IT & telecom",8.2,PAS2050,69.12
2016,Yes,Taiwan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",5.8,PAS2050,24.04
2015,Yes,Taiwan,Not used for 2015 reporting,"Computer, IT & telecom",14.2,PAS2050,146.41
2016,Yes,Taiwan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",7.0,PAS2050,66.16
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",7.5,PAS2050,182.927
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.11,PAS2050,18.756
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.8,PAS2050,25.517
2013,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",1.4,PAS2050,20.886
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",11.0,PAS2050,105.56
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",23.0,PAS2050,174.46
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.7,PAS2050,25.72
2014,Yes,Taiwan,Computers & Peripherals,"Computer, IT & telecom",0.162,PAS2050,6.13
